,Product URL,Catalog Image
0,https://www.corporategear.com/eddie-bauer-men-s-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/494044_eb204_black_flat_front_060912.jpg"",""/resources/parsonskellogg/product/medium/494053_eb204_greysteel_flat_front_060912.jpg"",""/resources/parsonskellogg/product/medium/494062_eb204_riverblue_flat_front_060912.jpg""]"
2,https://www.corporategear.com/fairway-greene-men-s-tech-solid-1-4-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/ct102286-blk.jpg"",""/resources/parsonskellogg/product/medium/ct102286-sgr.jpg"",""/resources/parsonskellogg/product/medium/637985876700723164_1007279_5763817_swatch_mos.jpg""]"
4,https://www.corporategear.com/carhartt-men-s-gilliam-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/s17028-blk.jpg"",""/resources/parsonskellogg/product/medium/s17028-gry.jpg"",""/resources/parsonskellogg/product/medium/s17028-nvy.jpg""]"
6,https://www.corporategear.com/core-365-men-s-techno-lite-unlined-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/ms22ez51-grn.jpg""]"
8,https://www.corporategear.com/spyder-men-s-transit-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/72095-990.jpg""]"
10,https://www.corporategear.com/peter-millar-men-s-essex-quilted-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ek42c-spt.jpg""]"
12,https://www.corporategear.com/peter-millar-men-s-fuse-hyperlight-hybrid-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22z00-blk.jpg""]"
14,https://www.corporategear.com/patagonia-men-s-synch-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/901077_47.jpg"",""/resources/parsonskellogg/product/medium/901077_51.jpg"",""/resources/parsonskellogg/product/medium/901077_52.jpg"",""/resources/parsonskellogg/product/medium/901077_54.jpg"",""/resources/parsonskellogg/product/medium/901077_96.jpg""]"
16,https://www.corporategear.com/helly-hansen-men-s-manchester-2.0-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/9722-110.png"",""/resources/parsonskellogg/product/medium/9722-514.png"",""/resources/parsonskellogg/product/medium/9722-129.png""]"
18,https://www.corporategear.com/helly-hansen-men-s-oxford-lined-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/6747-blk.jpg"",""/resources/parsonskellogg/product/medium/6747-chr.jpg"",""/resources/parsonskellogg/product/medium/6747-nvy.jpg""]"
20,https://www.corporategear.com/peter-millar-men-s-forge-performance-quarter-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/ce701-blk.jpg"",""/resources/parsonskellogg/product/medium/ce701-gry.jpg"",""/resources/parsonskellogg/product/medium/ce701-nvy.jpg""]"
22,https://www.corporategear.com/men-s-peter-millar-all-course-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637590180402151294_1008478_5713500_color_039.jpg""]"
24,https://www.corporategear.com/peter-millar-men-s-apres-ski-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637721397815842755_1010969_5733480_color_010.jpg"",""/resources/parsonskellogg/product/medium/637721397823523698_1010969_5733488_color_060.jpg"",""/resources/parsonskellogg/product/medium/637721397838246731_1010969_5733496_color_419.jpg""]"
